Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
1;20,00;8;2;1;11,02;360;0;;7,71;3,06;
1;20,00;7;2;1;11,02;360;0;;7,57;2,16;
1;20,00;8;2;1;11,02;360;0;;10,48;4,20;
1;20,00;8;2;1;11,02;360;0;1;11,06;1,86;0,46
1;20,00;8;2;1;11,02;360;0;;17,46;4,56;0,26
1;20,00;7;2;1;11,02;360;0;1;11,14;2,64;0,31
1;20,00;7;2;1;11,02;360;0;;14,25;3,90;0,20
1;20,00;9;2;1;10,44;380;0;1;11,30;4,38;
1;20,00;8;2;1;11,02;360;0;1;7,63;1,92;0,21
;12,00;4;2;1;18,86;640;1;1;4,90;3,48;
;12,00;5;2;1;18,86;640;1;1;5,34;4,56;
;12,00;5;2;1;12,55;640;1;1;4,79;4,80;
;12,00;5;2;1;9,41;640;1;1;5,54;4,44;
;12,00;5;2;1;9,41;640;0;;4,83;1,02;0,41
;12,00;4;2;1;18,86;640;1;1;5,53;3,90;
;30,00;8;2;2;10,56;360;0;1;10,80;2,22;0,41
;30,00;6;2;2;18,52;360;1;1;12,18;2,10;0,41
;30,00;7;2;1;8,99;500;1;1;7,47;1,44;0,54
;30,00;7;2;1;8,99;500;0;;11,19;3,96;
;30,00;5;2;1;18,52;360;0;1;11,75;4,86;
;30,00;8;2;2;8,99;500;0;1;11,38;1,98;0,17
;30,00;8;2;2;10,56;360;0;1;11,26;2,10;0,38
;25,00;8;4;1;13,23;600;0;1;10,91;4,68;
;12,00;6;5;1;24,84;660;0;;41,88;9,30;
;12,00;6;5;1;24,84;660;0;;54,55;16,80;
;12,00;10;6;2;35,84;620;1;1;14,59;3,78;
;12,00;8;3;1;14,43;420;0;1;15,06;2,10;0,36
;12,00;7;4;1;16,71;420;0;1;10,86;3,54;
;12,00;6;3;3;15,12;420;1;1;14,96;3,12;0,44
;12,00;6;3;1;11,26;480;0;1;23,08;6,00;0,13
;12,00;7;4;1;16,71;420;0;1;11,12;3,18;
;12,00;6;3;1;12,79;460;0;1;14,34;2,94;
;12,00;8;3;1;14,43;420;0;1;14,78;2,40;0,33
;12,00;10;6;2;35,84;620;0;1;23,02;5,52;
;12,00;8;3;1;13,80;460;0;1;8,91;1,62;0,42
;12,00;7;3;1;10,68;520;1;1;15,96;3,42;0,32
;12,00;7;3;1;10,68;520;1;1;15,29;3,60;0,27
;12,00;10;6;2;35,84;620;0;1;14,23;2,64;
;12,00;8;3;1;13,80;460;1;1;4,71;0,72;0,44
;12,00;1;3;1;10,68;520;1;1;4,68;4,68;
;12,00;6;4;1;15,12;420;0;1;14,43;5,22;
1;20,00;9;4;1;18,52;400;0;1;9,91;2,64;0,09
1;20,00;9;3;1;12,82;400;0;1;12,32;2,76;
;15,00;9;3;2;12,66;400;1;1;27,16;3,24;0,42
;20,00;4;16;1;242,42;440;0;;65,01;5,88;0,27
;20,00;4;16;1;242,42;440;0;;72,19;13,32;
;20,00;4;16;1;242,42;440;0;;76,77;9,06;0,16
;20,00;8;3;3;12,53;420;0;;15,04;6,24;
;20,00;5;3;1;17,36;360;0;;50,50;9,96;
;20,00;10;3;3;9,75;540;0;;15,66;6,72;
;20,00;8;3;3;9,75;540;0;1;16,62;3,12;0,34
;20,00;9;3;3;12,53;420;0;1;16,18;2,34;0,21
;20,00;8;2;2;7,41;540;0;1;16,19;1,92;0,47
;20,00;8;3;3;12,53;420;0;1;15,08;1,14;0,48
;20,00;7;3;3;12,53;420;0;1;14,50;1,56;0,41
;20,00;2;13;1;242,42;440;0;;26,31;9,84;
;20,00;6;4;2;18,47;380;0;1;25,37;2,70;0,32
;20,00;9;4;3;15,15;440;0;1;30,78;7,08;
;20,00;9;4;2;15,15;440;1;1;15,79;2,94;0,19
;20,00;8;3;3;12,53;420;0;1;15,85;2,10;0,44
;20,00;9;3;3;9,75;540;0;1;16,78;3,90;
;20,00;8;2;2;7,41;540;0;1;16,04;2,64;0,16
;20,00;7;3;3;12,53;420;0;1;16,54;4,44;
;20,00;7;3;3;12,53;420;0;1;14,67;3,12;0,18
;20,00;6;3;1;9,92;560;0;1;14,36;5,94;
;20,00;9;3;3;12,53;420;0;1;17,07;5,52;
;20,00;9;3;3;12,53;420;0;1;13,93;2,64;0,21
;20,00;6;2;2;7,41;540;0;1;8,46;2,82;
;20,00;7;2;2;7,41;540;0;1;14,47;6,42;
;20,00;9;3;3;9,75;540;0;1;15,69;3,54;0,32
;20,00;9;3;3;12,53;420;0;1;15,68;6,96;
;20,00;7;3;1;12,53;420;0;1;15,19;5,52;
;20,00;7;3;1;12,53;420;0;1;13,30;5,34;
;20,00;9;3;3;12,53;420;0;1;13,26;2,04;0,43
;20,00;9;3;3;12,53;420;0;1;14,82;5,58;
;20,00;7;3;3;12,53;420;0;1;15,87;3,06;0,45
;20,00;9;3;3;12,53;420;0;1;16,37;3,30;0,20
;20,00;8;8;8;50,17;460;1;1;15,89;4,74;
;20,00;9;3;2;12,53;420;0;1;15,67;4,56;
;20,00;6;4;1;15,15;440;0;1;15,08;4,50;
;20,00;8;4;2;15,15;440;0;1;18,02;2,88;0,27
;20,00;7;3;2;12,53;420;0;1;13,63;2,52;0,37
;20,00;3;5;1;27,36;680;0;1;15,85;3,66;0,46
;20,00;7;8;8;50,17;460;1;1;15,01;3,36;0,15
;20,00;9;2;2;7,41;540;0;1;15,80;3,96;
;20,00;10;3;3;9,75;540;0;1;15,50;3,78;
;20,00;8;3;2;12,53;420;0;1;14,59;7,02;
;20,00;7;3;3;12,53;420;0;1;14,19;4,98;
;20,00;7;3;3;12,53;420;0;1;15,42;6,84;
;20,00;7;3;3;12,53;420;0;1;16,82;8,40;
;20,00;8;3;3;12,53;420;0;1;15,49;6,90;
;20,00;8;3;3;9,75;540;0;1;14,44;4,92;
;20,00;2;4;1;35,56;500;1;1;28,16;10,56;0,19
;20,00;10;8;8;50,17;460;0;1;37,15;6,36;
;20,00;10;8;8;50,17;460;0;1;35,19;5,16;
;20,00;6;4;2;18,47;380;0;1;24,76;5,70;
;20,00;2;4;1;23,46;620;1;1;0,22;0,24;0,27
;20,00;9;2;2;7,41;540;0;1;15,49;3,00;0,52
;20,00;9;3;3;11,57;540;0;1;25,62;5,28;
;20,00;6;2;2;7,41;540;0;1;15,57;7,80;
;20,00;9;3;3;12,53;420;0;1;15,61;3,30;0,14
;20,00;10;3;3;9,75;540;0;1;16,12;3,60;0,13
;20,00;7;2;2;7,41;540;0;1;16,01;2,82;0,47
;20,00;10;3;3;12,53;420;1;1;14,57;1,68;0,53
;20,00;9;8;4;50,17;460;0;1;26,36;4,92;0,13
;20,00;7;2;2;7,41;540;0;1;15,80;5,76;
;20,00;6;3;3;12,53;420;0;1;16,14;3,48;0,11
;20,00;9;3;3;12,53;420;0;1;16,37;5,46;
;20,00;7;3;2;9,57;550;1;1;16,55;1,92;0,43
;20,00;9;3;2;12,53;420;0;1;16,98;3,84;0,15
;20,00;9;3;3;12,53;420;0;;16,11;4,20;0,26
;20,00;9;3;3;12,53;420;0;1;14,63;2,82;0,29
;20,00;10;3;3;12,53;420;0;1;17,09;4,26;
;20,00;10;8;5;50,17;460;1;1;14,14;2,16;0,38
;20,00;8;3;3;12,53;420;0;1;16,53;3,42;0,34
;20,00;8;8;4;50,17;460;0;1;26,38;4,92;0,22
;20,00;6;4;4;18,47;380;0;1;26,45;3,30;0,48
;20,00;6;4;4;18,47;380;0;1;24,60;3,48;0,33
;20,00;6;4;4;18,47;380;0;;25,55;6,84;
;20,00;6;4;4;18,47;380;0;;24,39;9,78;
;20,00;7;3;1;9,75;540;0;1;14,64;5,16;
;20,00;9;3;3;12,53;420;0;1;16,82;3,60;0,21
;20,00;7;3;1;12,53;420;0;;15,20;1,92;0,43
;20,00;9;3;3;12,53;420;0;1;16,85;5,34;
